subject,trial,emg_file,label,top_k,top_channels,top_ratio,sig_count,sig_channels,sig_ratio,top_mean,rest_mean,mean_ratio,mean_to_median
(11)Francesco,trial 5,PaPi19112025_161133_M02DA1_EMG_raw.sig,Wrist Extension,5,32;20;16;17;19,0.25950524644872586,1,32,0.07025083595691668,0.0001712086602924497,9.047067123422328e-05,1.8924216871255493,1.147429927502586
(11)Francesco,trial 6,PaPi19112025_161457_M02DA1_EMG_raw.sig,Wrist Extension,5,20;19;15;16;32,0.24663727078662806,1,20,0.057265492214493445,0.00013622669901491372,7.705731957004784e-05,1.7678618952100822,1.1434628214905735
(11)Francesco,trial 7,PaPi19112025_161808_M02DA1_EMG_raw.sig,Wrist Extension,5,20;21;19;17;16,0.25975478408839037,2,20;21,0.11898908748376874,0.0001940987471246725,0.00010243326753254469,1.894879972104807,1.1851288278694219
(11)Francesco,trial 8,PaPi19112025_162032_M02DA1_EMG_raw.sig,Wrist Extension,5,32;27;28;26;23,0.21782010977034114,1,32,0.0896630879896699,0.00013938032417949638,9.268647891911271e-05,1.503782707088628,1.0121158410263744
(12)Rose,Trial 1,PaPi20112025_105147_M02DA1_EMG_raw.sig,Wrist Extension,5,13;12;14;23;24,0.21367519370164847,2,12;13,0.09490908698903212,0.0001600290425902224,0.00010905684198884676,1.4673911299080948,1.0566370051424974
(12)Rose,Trial 2,PaPi20112025_105539_M02DA1_EMG_raw.sig,Wrist Extension,5,14;1;15;13;16,0.24589781093350332,2,1;14,0.11479846931479779,0.00020264789141074464,0.00011508636373845806,1.7608332110594473,1.0555146154369477
(12)Rose,Trial 3,PaPi20112025_105843_M02DA1_EMG_raw.sig,Wrist Extension,5,14;1;15;13;24,0.2218089508918509,3,1;14;15,0.14373647257626668,0.00016675318246327182,0.00010833967657289183,1.5391700228224228,1.0661435386456677
(12)Rose,Trial 4,PaPi20112025_110312_M02DA1_EMG_raw.sig,Wrist Extension,5,14;1;15;13;5,0.22752255009199882,2,1;14,0.10356891831172883,0.00014655489867419958,9.214418718430697e-05,1.5904953220875475,1.0220869383453672
(12)Rose,Trial 5,PaPi20112025_110645_M02DA1_EMG_raw.sig,Wrist Extension,5,14;15;1;28;16,0.2672575525044656,3,1;14;15,0.1757137218728065,0.00020152950961780056,0.0001023213478119157,1.969574423396441,1.1751773671801453
(12)Rose,Trial 6,PaPi20112025_110956_M02DA1_EMG_raw.sig,Wrist Extension,5,28;30;31;32;29,0.48951764222178723,4,28;30;31;32,0.44616222200961103,0.0004788958074108925,9.24825219507923e-05,5.178230408397614,1.6676260811008201
(12)Rose,Trial 7,PaPi20112025_111424_M02DA1_EMG_raw.sig,Wrist Extension,5,1;16;17;15;18,0.30118394886133026,1,1,0.10886884393350886,0.00028142226490926795,0.00012091933296966119,2.3273554195000163,1.1391012423000038
(12)Rose,Trial 8,PaPi20112025_111942_M02DA1_EMG_raw.sig,Wrist Extension,5,16;17;1;18;15,0.2670731023488309,3,1;16;17,0.17745855278733433,0.0003931690860070141,0.00019980949030860108,1.9677197784738534,1.13613829556521
(13)Georgi,Trial 1,PaPi20112025_120248_M02DA1_EMG_raw.sig,Wrist Extension,5,14;15;12;13;11,0.2091752353298946,2,14;15,0.09232480579735383,0.0003768394664007867,0.00026383512569931405,1.4283142375449307,1.034840140523385
(13)Georgi,Trial 2,PaPi20112025_120724_M02DA1_EMG_raw.sig,Wrist Extension,5,14;15;1;12;13,0.23785404114154005,3,1;14;15,0.15281265379963743,0.0003024578995518753,0.00017947286212286942,1.6852570130898608,1.055310173403499
(13)Georgi,Trial 3,PaPi20112025_121120_M02DA1_EMG_raw.sig,Wrist Extension,5,12;1;14;15;11,0.2649487004579131,2,1;12,0.13276641701021602,0.00032976739713469797,0.00016942200326686325,1.9464260295356584,1.093509643980121
(13)Georgi,Trial 4,PaPi20112025_121421_M02DA1_EMG_raw.sig,Wrist Extension,5,1;12;13;14;15,0.2757962682251644,1,1,0.07132542966846951,0.00033283368170695254,0.0001618474577895898,2.0564653053720114,1.1062726279866255
(13)Georgi,Trial 5,PaPi20112025_121739_M02DA1_EMG_raw.sig,Wrist Extension,5,1;12;14;15;2,0.27918750712887497,1,1,0.08493741868526417,0.00031465072644798535,0.00015043929970292945,2.0915460725310613,1.1554609327402776
(13)Georgi,Trial 7,PaPi20112025_122427_M02DA1_EMG_raw.sig,Wrist Extension,5,11;12;1;14;2,0.36193519339669683,3,1;11;12,0.2744276356544084,0.0004275338199242418,0.00013957598195770261,3.063090181617368,1.2528202101733283
(13)Georgi,Trial 8,PaPi20112025_122844_M02DA1_EMG_raw.sig,Wrist Extension,5,1;2;3;12;32,0.3636855985436976,2,1;2,0.1810970725674237,0.00038596406908655124,0.00012505433905298633,3.0863708689309517,1.3594632926443153
(14)Robbie,Trial 1,PaPi20112025_132745_M02DA1_EMG_raw.sig,Wrist Extension,5,14;13;20;12;19,0.24608140606719897,1,14,0.05665045263311289,0.00019690745820361602,0.00011171566141786584,1.7625770254995428,1.1935097244758315
(14)Robbie,Trial 2,PaPi20112025_133052_M02DA1_EMG_raw.sig,Wrist Extension,5,19;15;16;18;20,0.22470810638781621,1,19,0.04890863451307327,0.00011923222459083035,7.618095106233582e-05,1.565118614668743,1.082482968468001
(14)Robbie,Trial 3,PaPi20112025_133402_M02DA1_EMG_raw.sig,Wrist Extension,5,19;20;18;2;4,0.19173862433219507,1,19,0.04247514424753662,0.00011829339177316472,9.234405537070456e-05,1.2810071130002851,1.040756893579647
(14)Robbie,Trial 4,PaPi20112025_133653_M02DA1_EMG_raw.sig,Wrist Extension,5,19;20;18;14;13,0.27443216445725427,2,19;20,0.12502316603641675,0.00014611189428477705,7.153767522579438e-05,2.0424467781990967,1.1852226154318064
(14)Robbie,Trial 5,PaPi20112025_134029_M02DA1_EMG_raw.sig,Wrist Extension,5,19;1;20;18;21,0.2527317342190069,3,1;19;20,0.1645969434327885,9.985458127245311e-05,5.46752776390428e-05,1.8263205160415765,1.1571242958214711
